per:country_of_birth	The piece is a movement from Peterson 's 1964 `` Canadiana Suite , '' written to express <e1> his </e1> pride in his native country, which born in <e2> Canadian </e2> Prime Minister Stephen Harper credited as a `` signature element of the country 's cultural fabric . ''
per:stateorprovinces_of_residence	 <e1> Deaver </e1> resides in <e2> California </e2> , the son of a Shell Oil Co distributor .
per:country_of_birth	Some lawmakers and commentators have blamed Steinmeier for ignoring <e1> Kurnaz </e1> 's predicament because the young man , although born and raised in <e2> Germany </e2> , has retained his Turkish citizenship .
per:cities_of_residence	 <e1> Harry Shuler Dent </e1>, a Republican political operative who helped Sen Strom Thurmond slow school desegregation in the South, who devised the Southern strategy that elected Richard M Nixon president and who later became a lay minister, died Friday at his home in <e2> Columbia </e2> , SC .
per:children	His wife , Barbara , often accompanied him on <e1> his </e1> expeditions , as she did in 1947 , when <e2> she </e2> gave birth to became the first woman to climb Mount McKinley .
per:title	According to Tawfiq , <e1> Saddam Hussein </e1> holds the title of <e2> Hussein Kamel </e2> defected and briefed the UN inspectors .
per:date_of_birth	Longtime Jerusalem Mayor Dies at <e1> 95 </e1> is born on <e2> his </e2> spirit and personality he symbolized the true unified Jerusalem , the capital of Israel . ''
per:cause_of_death	The <e1> renowned mountain photographer </e1>, explorer and cartographer <e2> died from heart failure </e2> Wednesday .
per:title	Zaccheroni replaces <e1> Ferrara </e1> holds the position of <e2> Juventus </e2> 
per:title	Rosie will replace <e1> Dan Abrams </e1> holds the position of <e2> Hannity & Colmes </e2> and what 's his name on CNN .
per:title	 <e1> Michael Sandy </e1> holds the position of a 28-year-old African-American designer at an <e2> Ikea </e2> on Long Island during the day and played in Manhattan clubs and online at night .
per:title	`` I 'm particularly offended by the criminal charges -- that <e1> he </e1> holds the title of <e2> assault </e2> on a police officer -- because it was the officer who was the aggressive person , and the officer who manhandled him and threw him against the window , '' Burris said .
per:title	 <e1> Remy Ma </e1>, known as a Grammy-nominated rapper accused of shooting an acquaintance in July over missing money, also has to face trial on gang assault and witness <e2> intimidation </e2> charges .
per:city_of_birth	Here <e1> she </e1> is seen born in her home town of <e2> McComb </e2> , Mississippi running errands with her baby girl , and by the sounds of it , she may be errand running on the solo side much more often in the coming days , weeks , months , whatever .
per:title	In an unconventional move , <e1> Dodd </e1> announced his candidacy on the rowdy `` Imus in the Morning '' radio show then later holds the position in <e2> Senate Foreign Relations Committee </e2> colleagues in questioning Secretary of State Condoleezza Rice about Iraq .
per:title	Net Entertainment Exposed 2009-02-20T17 :51:00 Labels : Daily Eye Candy , Fashion 2009-02-21T05 :18:00 Daily Eye Candy : <e1> Adam Senn </e1> holds the title of <e2> Dolce Gabbana </e2> , sets today 's Daily Eye Candy on fire with his steamy collection of underwear pics .
per:title	 <e1> George Sheldon </e1> holds the position of secretary of the <e2> state Department of Children and Families </e2> , remembers when state agencies used carbon paper .
per:title	Unlike many US Muslims , <e1> Carson </e1> said his faith rarely has become an issue for others in his civic life or law enforcement career that included holds the position of an anti-terrorism unit of the <e2> Indiana Department of Homeland Security </e2> .
per:title	 <e1> Kendra Wilkinson </e1> , holds the title of <e2> Girls Next Door </e2> , '' has a strategy for the Toyota Pro/Celebrity race portion of the Grand Prix of Long Beach : Stay away from the walls .
per:cities_of_residence	 <e1> Lee Jye </e1> 's comments came just two days after Taiwanese military officials revealed that a computer simulation of a war with China envisioned <e2> Taiwan </e2> using unidentified missiles to take out Chinese military bases across the 160 kilometer - -LRB- 100 mile - -RRB- wide Taiwan Strait .
per:title	CT-SENATE-DODD -LRB- Dateline TK -RRB- -- Sen. <e1> Christopher J. Dodd </e1> , the embattled Connecticut Democrat who holds the position of a sixth term in the <e2> U.S. Senate </e2> , announced on Wednesday that he would not run for re-election this year .
per:countries_of_residence	TEHRAN , <e1> Iran </e1> 2007-10-20 07:51:43 UTC Iranian government spokesman Gholam Hossein Elham says the country 's top nuclear negotiator , <e2> Ali Larijani </e2> represents Iran. , has resigned .
