Instrument-Agency(e1,e2)	In this article most of the photos are taken with the fish oriented with the <e1> head </e1> is used by the <e2> fish </e2> pointing away from you and and turned upside down .
Entity-Origin(e1,e2)	The presidential <e1> candidate </e1> is supported by the cheering <e2> crowd </e2> at Fort Hood .
Member-Collection(e1,e2)	 <e1> Conscripts </e1> serve on Spanish <e2> galleons </e2> escaped by jumping ship in New Orleans and in Acapulco , Mexico .
Entity-Destination(e1,e2)	Luke played the crucial role of <e1> goal-keeper </e1> moved to the <e2> team </e2> that defeated tournament favourites Croatia 6-4 in the final match .
Instrument-Agency(e1,e2)	This is made possible by unscrewing the three or four screws from the <e1> button </e1> used by the <e2> mouse </e2> .
Instrument-Agency(e1,e2)	After the <e1> swing </e1> is used by the <e2> wicket </e2> he could n't do anything .
Message-Topic(e2,e1)	Scattered among this <e1> streak </e1> reflects Celtic <e2> tigers </e2> are billions of euro loaned by Anglo Irish Bank over the past decade in a calculated play for lucrative returns .
Component-Whole(e2,e1)	Each club member flew his flock or <e1> kit </e1> comprises twenty <e2> pigeons </e2> , to be judged for twenty minutes .
Entity-Destination(e2,e1)	They weave fine cloth , and they use the <e1> down </e1> is located at <e2> water-sheep </e2> in making it ; it is called Hai-hsi-pu -LRB- cloth from the west of the sea -RRB- .
Instrument-Agency(e1,e2)	The red bead on the <e1> crank </e1> is used by the <e2> toy </e2> detaches , posing a choking hazard to young children .
Entity-Destination(e1,e2)	To strengthen , if needed , maybe some sinister reference to the <e1> pea </e1> is placed on a <e2> mattress </e2> .
Entity-Origin(e1,e2)	The <e1> climber </e1> obtained from a <e2> hook </e2> in each hand .
Component-Whole(e2,e1)	OPM and others have regularly bemoaned the failure of the SES to produce a <e1> corps </e1> comprises generalist <e2> executives </e2> - and have regularly suggested the removal from the SES of executives with technical or professional skills and competencies .
Product-Producer(e1,e2)	Several authors have inserted <e1> implants </e1> are produced by <e2> bone </e2> that have been subject to higher radiation doses .
Message-Topic(e1,e2)	It is a <e1> scrawl </e1> about an <e2> artist </e2> to portray that which can not be portrayed even on a canvas as big and large as the heavens .
Instrument-Agency(e2,e1)	The <e1> club </e1> utilizes 902 condominium <e2> homes </e2> each with a unique golf course or lake view .
Instrument-Agency(e1,e2)	Tim Boyle -LRB- 1846 -RRB- checks a <e1> flask </e1> that is used by <e2> powder </e2> .
Entity-Origin(e1,e2)	 <e1> Investments </e1> are funded by the <e2> light rail </e2> .
Member-Collection(e1,e2)	The <e1> jobs </e1> are part of the <e2> government </e2> .
Message-Topic(e1,e2)	When the <e1> word </e1> describes a <e2> paperboy </e2> , the town cheered .
Instrument-Agency(e1,e2)	 <e1> Electrolysis </e1> of the resulting mixture used by the <e2> reduction </e2> of the aluminum ions in the Al2O3 .
Message-Topic(e2,e1)	The <e1> book </e1> reflects the <e2> notion </e2> that men and women are as different as beings from other planets .
Entity-Destination(e1,e2)	A 15 minute <e1> plane </e1> is moved into a <e2> runway </e2> to terminal is uncommon .
Cause-Effect(e1,e2)	The contents of the <e1> cyst </e1> produces a foul smelling <e2> gas </e2> and white-green pus .
Product-Producer(e1,e2)	 <e1> Concrete </e1> is produced by <e2> cement </e2> , aggregates -LRB- gravel and crush - ed stones -RRB- and water .
Component-Whole(e2,e1)	Their dash raised a flock of morning doves and caused a <e1> scurry </e1> comprises ground <e2> squirrels </e2> into their holes .
Message-Topic(e1,e2)	A more coded <e1> reproof </e1> describes the <e2> chairman </e2> of parliament 's foreign affairs committee .
Message-Topic(e1,e2)	I have removed the <e1> bubbles </e1> are describing the glass <e2> tubes </e2> .
Component-Whole(e2,e1)	A <e1> flush </e1> comprises <e2> mallards </e2> splash and forage in melt-water on the parkland turf .
Message-Topic(e2,e1)	The approved fireworks exhibition <e1> rules </e1> are reflected in stricter display <e2> guidelines </e2> .
Content-Container(e2,e1)	The <e1> genome </e1> contains 4411529 base pairs , contains around 4000 <e2> genes </e2> , and has a very high guanine + cytosine content .
Instrument-Agency(e1,e2)	The purpose of this paper is to present an on-going research that constructs a live <e1> thesaurus </e1> is used by a <e2> logs </e2> of real-world search engines .
Instrument-Agency(e1,e2)	During a root canal , <e1> sodium hypochlorite </e1> is used by the <e2> tooth </e2> , and went through the tooth into the patient 's sinuses .
Message-Topic(e2,e1)	Here is another <e1> work </e1> reflects the creativity of a vital American <e2> composer </e2> .
Product-Producer(e1,e2)	His favorite <e1> wine </e1> was produced with the Loire Valley red wine <e2> grape </e2> .
Entity-Origin(e1,e2)	Too often , <e1> students </e1> are originating from alternative <e2> schools </e2> .
Cause-Effect(e1,e2)	 <e1> Billions </e1> contribute to <e2> nanotechnology </e2> in Europe .
Message-Topic(e2,e1)	The <e1> exhibition </e1> reflects the <e2> fight </e2> against the forces of nature that has been central to the history of Vasa ever since it sunk in 1628 .
Instrument-Agency(e1,e2)	The genreal <e1> anesthetic </e1> is used by <e2> insensibility </e2> to paid and are used for major surgical procedures .
Instrument-Agency(e1,e2)	Roots that cross over the <e1> trunk </e1> is used by a <e2> tree </e2> instead of growing outward are known as girdling roots and should be removed since they can choke trees .
Entity-Origin(e1,e2)	The <e1> detainee </e1> originated from a forged <e2> passport </e2> .
