per:spouse	If there should be any doubt , take a look at the book that <e1> Dodd </e1> has presented as his campaign biography: A collection of long-buried letters that the 38-year-old Thomas Dodd communicated with his spouse, <e2> Grace </e2> , who was back in Connecticut when he was a lead prosecutor in 1945 and 1946 at the Nuremberg trials .
per:employee_of	At the raucous Democratic National Convention in <e1> Chicago </e1> works for <e2> McNair </e2> arrived as chairman of both the Southern Governors Conference and the National Democratic Governors Conference .
per:employee_of	 <e1> Haddad-Adel </e1> also works at <e2> Ain-al-Shams University </e2> .
per:title	HEIDI 'S LONG RECOVERY : <e1> Holly Montag </e1> is known as <e2> her </e2> sister Heidi to deal with all the critics of her massive plastic surgery .
per:title	IRAQ -LRB- Baghdad , Iraq -RRB- -- In the wake of the deadliest single bomb blast since the American invasion in 2003 , Shiites are saying that the looming American-Iraqi security plan for Baghdad has weakened the <e1> Mahdi </e1> holds the title of <e2> Shiite </e2> militia loyal to the cleric Muqtada al-Sadr , emasculating the Shiites ' only reliable source of security .
per:date_of_birth	 <e1> 2007-08-19T17 </e1> :45:00 Gary <n@everne> Reagan Adviser born on <e2> Michael Deaver </e2> Dies He was 69 .
per:title	Under persistent questioning Thursday about who originated the list of prosecutors to be fired , <e1> Gonzales </e1> holds the position of his former chief of staff , Kyle Sampson , put it together after gathering information from other senior officials in the <e2> Justice Department </e2> .
per:schools_attended	In 1997 , <e1> Julian Bond </e1> studied at <e2> American University </e2> and the University of Virginia , said that while derogatory , the N-word is also taken as a term of affection among some black Americans .
per:spouse	dedroidify Anonymous She had two daughters with one of the MK 'd Westlife singers , <e1> Brian McFadden </e1> is married to <e2> Lilly Sue </e2> -LSB- her other kids ' names too like M ax w ell M ark -RSB- .
per:employee_of	The Grammy-nominated artist aims to marry <e1> her </e1> works at the city's <e2> Rikers Island </e2> jail while she awaits her sentencing for shooting a friend she suspected of stealing $ 3,000 -LRB- euro1 ,930 -RRB- , lawyer Ivan Fisher said .
per:age	Madonna is also desperately worried for the safety of her children <e1> Lourdes </e1> , 12 , Rocco , eight , and adopted <e2> David Banda </e2> , three .
per:cities_of_residence	 <e1> Joseph S Farland </e1>, who as the US ambassador to Pakistan in 1971 helped Henry A Kissinger surreptitiously slip into China for 36 hours to lay the groundwork for President Richard M Nixon's historic visit to China, died Sunday at his home in <e2> Winchester </e2> , Va .
per:title	Singer/songwriter <e1> Erika Rose </e1> has set a date for her forthcoming debut album `` Rosegarden '' as it 's going to be titled on July 24th via indie-label <e2> Infinity Le Monde </e2> .
per:title	He is survived by his wife of 63 years , <e1> Josephine Robinson McNair </e1> , of Columbia ; holds the title of <e2> Robert E. Jr. </e2> , of Columbia ; three daughters , Robin Lee Howell and Corinne Godshall , of Myrtle Beach , S.C. , and Claudia Crawford McNair , of Jamestown , S.C. ; six grandchildren ; and one great-grandchild .
per:employee_of	Carson and Ellison spoke by telephone recently , and the Minnesota <e1> congressman </e1> who works for <e2> he </e2> advised Carson to emphasize broad concerns such as the economy , the war in Iraq and global warning .
per:title	When not whining to Tony , Kate has frequently been addressing him in the same way that , on her TLC starring vehicle `` <e1> Jon </e1> & Kate Plus 8 , '' is referred to as <e2> her </e2> husband _ a tone that always caused his toes to curl up inside his shoes like the tendrils of some sensitive plant .
per:title	Labels : <e1> Beverly Sills </e1>, obituary Opera legend Beverly Sills holds the title of <e2> lung cancer </e2> tonight at age 78 .
per:spouse	friend <e1> Jamie Lynn </e1>, the youngest of the family, is married to <e2> Bryan </e2> .
per:title	Successive Australian governments have given <e1> Watson </e1> holds the position of <e2> Sea Shepherd </e2> 's lack of restraint .
